species_code,English name
bkbalb,Black-browed Albatross
wispet,Wilson's Storm-Petrel
pumstp1,Pincoya Storm-Petrel
wvspet1,Elliot's Storm-Petrel
gybstp1,Gray-backed Storm-Petrel
wfspet,White-faced Storm-Petrel
wbspet1,White-bellied Storm-Petrel
nezstp1,New Zealand Storm-Petrel
necstp1,New Caledonian Storm-Petrel
bbspet1,Black-bellied Storm-Petrel
pospet1,Polynesian Storm-Petrel
bripet,European Storm-Petrel
ftspet,Fork-tailed Storm-Petrel
rispet1,Ringed Storm-Petrel
lcspet,Leach's Storm-Petrel
leastp5,Townsend's Storm-Petrel
leastp2,Ainley's Storm-Petrel
swspet,Swinhoe's Storm-Petrel
asspet,Ashy Storm-Petrel
barpet,Band-rumped Storm-Petrel
monstp1,Monteiro's Storm-Petrel
cavstp1,Cape Verde Storm-Petrel
wrspet,Wedge-rumped Storm-Petrel
bkspet,Black Storm-Petrel
guspet,Guadalupe Storm-Petrel
maspet,Markham's Storm-Petrel
maspet2,Matsudaira's Storm-Petrel
trspet,Tristram's Storm-Petrel
lsspet,Least Storm-Petrel
angpet1,Southern Giant-Petrel
norgip1,Northern Giant-Petrel
norful,Northern Fulmar
souful1,Southern Fulmar
antpet1,Antarctic Petrel
cappet,Pintado Petrel
snopet1,Snow Petrel
kerpet2,Kerguelen Petrel
lshpet1,Large St. Helena Petrel
grwpet3,Great-winged Petrel
grwpet2,Gray-faced Petrel
kerpet,Kermadec Petrel
magpet1,Magenta Petrel
tripet1,Trindade Petrel
herpet2,Herald Petrel
murpet,Murphy's Petrel
solpet1,Providence Petrel
henpet1,Henderson Petrel
madpet,Zino's Petrel
feapet1,Fea's Petrel
soppet1,Soft-plumaged Petrel
barpet1,Barau's Petrel
whhpet1,White-headed Petrel
motpet,Mottled Petrel
berpet,Bermuda Petrel
bkcpet,Black-capped Petrel
bkcpet2,Jamaican Petrel
jufpet,Juan Fernandez Petrel
atlpet1,Atlantic Petrel
galpet,Galapagos Petrel
hawpet1,Hawaiian Petrel
whnpet,White-necked Petrel
bonpet,Bonin Petrel
bkwpet,Black-winged Petrel
chapet1,Chatham Islands Petrel
coopet,Cook's Petrel
maspet3,Masatierra Petrel
goupet1,Gould's Petrel
colpet1,Collared Petrel
stepet,Stejneger's Petrel
pycpet1,Pycroft's Petrel
phopet1,Phoenix Petrel
venpet1,Vanuatu Petrel
blupet1,Blue Petrel
faipri1,Fairy Prion
brbpri1,Broad-billed Prion
salpri2,Salvin's Prion
salpri3,MacGillivray's Prion
dovpri1,Antarctic Prion
slbpri1,Slender-billed Prion
fulpri1,Fulmar Prion
bulpet,Bulwer's Petrel
joupet,Jouanin's Petrel
sshpet1,Small St. Helena Petrel
fijpet1,Fiji Petrel
maspet1,Mascarene Petrel
tahpet1,Tahiti Petrel
becpet1,Beck's Petrel
grapet,Gray Petrel
whcpet1,White-chinned Petrel
spepet1,Spectacled Petrel
parpet1,Parkinson's Petrel
wespet1,Westland Petrel
strshe,Streaked Shearwater
corshe1,Cory's Shearwater
scoshe1,Scopoli's Shearwater
cavshe1,Cape Verde Shearwater
pifshe,Pink-footed Shearwater
flfshe,Flesh-footed Shearwater
greshe,Great Shearwater
wetshe,Wedge-tailed Shearwater
bulshe,Buller's Shearwater
sooshe,Sooty Shearwater
shtshe,Short-tailed Shearwater
chrshe,Christmas Shearwater
audshe3,Galapagos Shearwater
manshe,Manx Shearwater
levshe1,Yelkouan Shearwater
balshe1,Balearic Shearwater
hutshe1,Hutton's Shearwater
troshe4,Bannerman's Shearwater
towshe1,Townsend's Shearwater
towshe2,Newell's Shearwater
towshe3,Rapa Shearwater
bryshe1,Bryan's Shearwater
bkvshe,Black-vented Shearwater
flushe1,Fluttering Shearwater
litshe8,Little Shearwater
litshe4,Subantarctic Shearwater
litshe1,Barolo Shearwater
litshe2,Boyd's Shearwater
audshe,Sargasso Shearwater
troshe5,Tropical Shearwater
pershe1,Persian Shearwater
heishe1,Heinroth's Shearwater
pedpet1,Peruvian Diving-Petrel
codpet1,Common Diving-Petrel
sgdpet1,South Georgia Diving-Petrel
madpet1,Magellanic Diving-Petrel
asiope1,Asian Openbill
afrope1,African Openbill
blasto1,Black Stork
abdsto1,Abdim's Stork
wonsto2,African Woolly-necked Stork
wonsto1,Asian Woolly-necked Stork
stosto1,Storm's Stork
magsto1,Maguari Stork
whisto1,White Stork
oristo1,Oriental Stork
blnsto1,Black-necked Stork
sabsto1,Saddle-billed Stork
jabiru,Jabiru
lesadj1,Lesser Adjutant
marsto1,Marabou Stork
greadj1,Greater Adjutant
woosto,Wood Stork
milsto1,Milky Stork
yebsto1,Yellow-billed Stork
paisto1,Painted Stork
asifri1,Ascension Frigatebird
magfri,Magnificent Frigatebird
lesfri,Lesser Frigatebird
grefri,Great Frigatebird
chifri1,Christmas Island Frigatebird
abbboo2,Abbott's Booby
norgan,Northern Gannet
capgan1,Cape Gannet
ausgan1,Australasian Gannet
refboo,Red-footed Booby
brnboo,Brown Booby
cocboo1,Cocos Booby
masboo,Masked Booby
nazboo1,Nazca Booby
bfoboo,Blue-footed Booby
perboo1,Peruvian Booby
anhing,Anhinga
darter3,African Darter
darter2,Oriental Darter
darter4,Australasian Darter
lipcor1,Little Pied Cormorant
lotcor1,Reed Cormorant
crocor1,Crowned Cormorant
litcor1,Little Cormorant
pygcor2,Pygmy Cormorant
relcor1,Red-legged Cormorant
bracor,Brandt's Cormorant
refcor,Red-faced Cormorant
pelcor,Pelagic Cormorant
palcor1,Pallas's Cormorant
bancor1,Bank Cormorant
capcor1,Cape Cormorant
grecor,Great Cormorant
japcor1,Japanese Cormorant
soccor1,Socotra Cormorant
sposha1,Spotted Shag
piisha1,Pitt Island Shag
indcor1,Indian Cormorant
libcor1,Little Black Cormorant
piecor1,Pied Cormorant
blfcor1,Black-faced Cormorant
eursha1,European Shag
flicor1,Flightless Cormorant
doccor,Double-crested Cormorant
neocor,Neotropic Cormorant
magcor1,Magellanic Cormorant
guacor1,Guanay Cormorant
boisha1,Bounty Islands Shag
rofsha1,New Zealand King Shag
brosha1,Stewart Island Shag
chisha1,Chatham Islands Shag
auisha1,Auckland Islands Shag
caisha2,Campbell Islands Shag
sogsha1,South Georgia Shag
impcor1,Imperial Cormorant
antsha1,Antarctic Shag
crosha1,Crozet Shag
kersha1,Kerguelen Shag
heisha1,Heard Island Shag
macsha1,Macquarie Shag
whiibi,White Ibis
scaibi,Scarlet Ibis
gloibi,Glossy Ibis
whfibi,White-faced Ibis
punibi1,Puna Ibis
madibi1,Madagascar Ibis
shtibi1,Sharp-tailed Ibis
greibi1,Green Ibis
bafibi1,Bare-faced Ibis
pluibi1,Plumbeous Ibis
bunibi1,Buff-necked Ibis
bkfibi1,Black-faced Ibis
bkfibi2,Andean Ibis
sacibi2,African Sacred Ibis
sacibi3,Malagasy Sacred Ibis
reusol1,Reunion Ibis
blhibi1,Black-headed Ibis
ausibi1,Australian Ibis
stnibi1,Straw-necked Ibis
renibi1,Red-naped Ibis
whsibi1,White-shouldered Ibis
giaibi1,Giant Ibis
waldra1,Northern Bald Ibis
balibi1,Southern Bald Ibis
creibi1,Crested Ibis
oliibi2,Olive Ibis
oliibi3,Sao Tome Ibis
spbibi1,Spot-breasted Ibis
hadibi1,Hadada Ibis
watibi1,Wattled Ibis
eurspo1,Eurasian Spoonbill
royspo1,Royal Spoonbill
afrspo1,African Spoonbill
blfspo1,Black-faced Spoonbill
yebspo1,Yellow-billed Spoonbill
rosspo1,Roseate Spoonbill
whcbit1,White-crested Tiger-Heron
ruther1,Rufescent Tiger-Heron
btther1,Bare-throated Tiger-Heron
father1,Fasciated Tiger-Heron
bobher1,Boat-billed Heron
agaher1,Agami Heron
zigher1,Zigzag Heron
grebit1,Eurasian Bittern
ausbit1,Australasian Bittern
amebit,American Bittern
pinbit1,Pinnated Bittern
stbbit1,Stripe-backed Bittern
leabit,Least Bittern
blabit1,Black Bittern
cinbit1,Cinnamon Bittern
schbit1,Schrenck's Bittern
dwabit1,Dwarf Bittern
litbit1,Little Bittern
yelbit,Yellow Bittern
bkbbit1,Black-backed Bittern
nezbit1,New Zealand Bittern
ycnher,Yellow-crowned Night Heron
bernih1,Bermuda Night Heron
bcnher,Black-crowned Night Heron
reunih1,Reunion Night Heron
maunih1,Mauritius Night Heron
rodnih1,Rodrigues Night Heron
runher1,Nankeen Night Heron
asnher1,Ascension Night Heron
manher1,Malayan Night Heron
janher1,Japanese Night Heron
capher1,Capped Heron
whiher1,Whistling Heron
libher,Little Blue Heron
triher,Tricolored Heron
redegr,Reddish Egret
slaegr1,Slaty Egret
blaher1,Black Heron
pacreh1,Pacific Reef-Heron
chiegr,Chinese Egret
snoegr,Snowy Egret
litegr,Little Egret
werher,Western Reef-Heron
pieher2,Pied Heron
whfher1,White-faced Heron
wbnher1,White-backed Night Heron
wenher1,White-eared Night Heron
strher,Striated Heron
grnher,Green Heron
forbit1,Forest Bittern
rubher2,Rufous-bellied Heron
squher1,Squacco Heron
mapher1,Malagasy Pond-Heron
inpher1,Indian Pond-Heron
chpher1,Chinese Pond-Heron
japher1,Javan Pond-Heron
categr1,Western Cattle-Egret
categr2,Eastern Cattle-Egret
pacher1,Pacific Heron
greegr,Great Egret
integr3,Yellow-billed Egret
integr1,Medium Egret
integr2,Plumed Egret
graher1,Gray Heron
grbher3,Great Blue Heron
cocher1,Cocoi Heron
purher1,Purple Heron
humher1,Humblot's Heron
whbher2,White-bellied Heron
grbher2,Great-billed Heron
blhher1,Black-headed Heron
golher1,Goliath Heron
hamerk1,Hamerkop
shoebi1,Shoebill
amwpel,American White Pelican
brnpel,Brown Pelican
perpel1,Peruvian Pelican
grwpel1,Great White Pelican
auspel1,Australian Pelican
pibpel1,Pink-backed Pelican
spbpel1,Spot-billed Pelican
dalpel1,Dalmatian Pelican
calcon,California Condor
kinvul1,King Vulture
andcon1,Andean Condor
blkvul,Black Vulture
turvul,Turkey Vulture
lyhvul1,Lesser Yellow-headed Vulture
gyhvul1,Greater Yellow-headed Vulture
secret2,Secretarybird
osprey,Osprey
peakit1,Pearl Kite
sctkit1,Scissor-tailed Kite
whtkit,White-tailed Kite
bkskit1,Black-winged Kite
auskit1,Black-shouldered Kite
lewkit1,Letter-winged Kite
afhhaw1,African Harrier-Hawk
mahhaw1,Madagascar Harrier-Hawk
panvul1,Palm-nut Vulture
lammer1,Bearded Vulture
egyvul1,Egyptian Vulture
maseag1,Madagascar Serpent-Eagle
hobkit,Hook-billed Kite
hobkit2,Cuban Kite
grhkit1,Gray-headed Kite
whckit1,White-collared Kite
afrcuh1,African Cuckoo-Hawk
madcuh1,Madagascar Cuckoo-Hawk
jerbaz1,Jerdon's Baza
pacbaz1,Pacific Baza
blabaz1,Black Baza
euhbuz1,European Honey-buzzard
orihob2,Oriental Honey-buzzard
barhob1,Sulawesi Honey-buzzard
barhob2,Philippine Honey-buzzard
swtkit,Swallow-tailed Kite
bkbkit1,Black-breasted Kite
sqtkit1,Square-tailed Kite
lthbuz1,Long-tailed Honey-buzzard
blhbuz1,Black Honey-buzzard
rehvul1,Red-headed Vulture
whhvul1,White-headed Vulture
cinvul1,Cinereous Vulture
lafvul1,Lappet-faced Vulture
hoovul1,Hooded Vulture
himgri1,Himalayan Griffon
whrvul1,White-rumped Vulture
whbvul1,White-backed Vulture
indvul1,Indian Vulture
slbvul1,Slender-billed Vulture
capgri1,Cape Griffon
ruegri1,Rüppell's Griffon
eurgri1,Eurasian Griffon
nicsee1,Nicobar Serpent-Eagle
suseag1,Sulawesi Serpent-Eagle
moseag1,Mountain Serpent-Eagle
crseag1,Crested Serpent-Eagle
phseag1,Philippine Serpent-Eagle
anseag1,Andaman Serpent-Eagle
grpeag1,Philippine Eagle
batele1,Bateleur
baseag1,Western Banded Snake-Eagle
faseag1,Southern Banded Snake-Eagle
coseag1,Congo Snake-Eagle
beasne1,Beaudouin's Snake-Eagle
bkbsne1,Black-chested Snake-Eagle
shteag1,Short-toed Snake-Eagle
brseag1,Brown Snake-Eagle
crheag1,Crowned Eagle
walhae1,Wallace's Hawk-Eagle
mouhae2,Legge's Hawk-Eagle
mouhae1,Mountain Hawk-Eagle
blyhae1,Blyth's Hawk-Eagle
javhae1,Javan Hawk-Eagle
sulhae1,Sulawesi Hawk-Eagle
pinhae1,Pinsker's Hawk-Eagle
phihae1,Philippine Hawk-Eagle
y00839,Changeable Hawk-Eagle
flohae1,Flores Hawk-Eagle
blheag1,Black Hawk-Eagle
bawhae1,Black-and-white Hawk-Eagle
orheag1,Ornate Hawk-Eagle
baceag2,Black-and-chestnut Eagle
rubeag2,Rufous-bellied Eagle
mareag1,Martial Eagle
loceag1,Long-crested Eagle
blaeag1,Black Eagle
inseag1,Indian Spotted Eagle
leseag1,Lesser Spotted Eagle
grseag1,Greater Spotted Eagle
waheag3,Wahlberg's Eagle
ayheag1,Ayres's Hawk-Eagle
liteag3,Pygmy Eagle
booeag1,Booted Eagle
liteag1,Little Eagle
steeag1,Steppe Eagle
impeag1,Imperial Eagle
spaeag1,Spanish Eagle
taweag1,Tawny Eagle
cashae1,Cassin's Hawk-Eagle
gureag1,Gurney's Eagle
weteag1,Wedge-tailed Eagle
goleag,Golden Eagle
vereag1,Verreaux's Eagle
boneag2,Bonelli's Eagle
afrhae1,African Hawk-Eagle
negeag1,New Guinea Eagle
bathaw1,Bat Hawk
creeag1,Crested Eagle
hareag1,Harpy Eagle
cregos1,Crested Goshawk
sulgos1,Sulawesi Goshawk
gabgos2,Gabar Goshawk
lothaw1,Long-tailed Hawk
dacgos1,Dark Chanting-Goshawk
eacgos1,Eastern Chanting-Goshawk
pacgos1,Pale Chanting-Goshawk
lizbuz1,Lizard Buzzard
afrgos1,African Goshawk
chfspa1,Chestnut-flanked Sparrowhawk
retspa1,Red-thighed Sparrowhawk
litspa1,Little Sparrowhawk
besra1,Besra
smaspa1,Small Sparrowhawk
runspa1,Rufous-necked Sparrowhawk
colspa1,Collared Sparrowhawk
nebspa1,New Britain Sparrowhawk
vibspa1,Vinous-breasted Sparrowhawk
japspa1,Japanese Sparrowhawk
shikra1,Shikra
nicspa1,Nicobar Sparrowhawk
levspa1,Levant Sparrowhawk
grfhaw1,Chinese Sparrowhawk
imispa1,Imitator Sparrowhawk
fragos2,Frances's Sparrowhawk
sptgos1,Spot-tailed Goshawk
gyhgos1,Gray-headed Goshawk
nebgos1,New Britain Goshawk
grygos1,Gray Goshawk
vargos1,Variable Goshawk
blmgos1,Black-mantled Goshawk
piegos1,Pied Goshawk
fijgos1,Fiji Goshawk
molgos1,Moluccan Goshawk
slmgos1,Slaty-mantled Goshawk
necgos1,New Caledonian Goshawk
brogos1,Brown Goshawk
chsgos1,Chestnut-shouldered Goshawk
redgos1,Red Goshawk
gybhaw1,Gray-bellied Hawk
ovaspa2,Ovambo Sparrowhawk
madspa1,Madagascar Sparrowhawk
eurspa1,Eurasian Sparrowhawk
rucspa2,Rufous-breasted Sparrowhawk
shshaw,Sharp-shinned Hawk
bichaw1,Bicolored Hawk
bichaw4,Chilean Hawk
coohaw,Cooper's Hawk
gunhaw1,Gundlach's Hawk
norgos1,Eurasian Goshawk
norgos,American Goshawk
meygos1,Meyer's Goshawk
blagos1,Black Goshawk
hengos1,Henst's Goshawk
dorgos1,Doria's Hawk
wemhar1,Western Marsh Harrier
afmhar1,African Marsh Harrier
easmah1,Eastern Marsh Harrier
easmah2,Papuan Harrier
swahar1,Swamp Harrier
reuhar2,Reunion Harrier
reuhar3,Malagasy Harrier
lowhar1,Long-winged Harrier
spohar1,Spotted Harrier
blahar1,Black Harrier
cinhar1,Cinereous Harrier
norhar1,Hen Harrier
norhar2,Northern Harrier
palhar1,Pallid Harrier
piehar1,Pied Harrier
monhar1,Montagu's Harrier
tinhaw1,Tiny Hawk
semhaw2,Semicollared Hawk
dotkit1,Double-toothed Kite
rutkit1,Rufous-thighed Kite
redkit1,Red Kite
blakit1,Black Kite
brakit1,Brahminy Kite
whikit1,Whistling Kite
whteag,White-tailed Eagle
baleag,Bald Eagle
pafeag1,Pallas's Fish-Eagle
stseag,Steller's Sea-Eagle
affeag1,African Fish-Eagle
mafeag1,Madagascar Fish-Eagle
wbseag1,White-bellied Sea-Eagle
solsee1,Sanford's Sea-Eagle
lefeag1,Lesser Fish-Eagle
gyhfie1,Gray-headed Fish-Eagle
ruwbuz1,Rufous-winged Buzzard
grabuz1,Grasshopper Buzzard
whebuz1,White-eyed Buzzard
gyfbuz1,Gray-faced Buzzard
miskit,Mississippi Kite
plukit1,Plumbeous Kite
crahaw,Crane Hawk
blchaw1,Black-collared Hawk
snakit,Snail Kite
slbkit1,Slender-billed Kite
barhaw1,Barred Hawk
pluhaw,Plumbeous Hawk
slchaw2,Slate-colored Hawk
comblh1,Common Black Hawk
cubblh1,Cuban Black Hawk
ruchaw1,Rufous Crab Hawk
savhaw1,Savanna Hawk
whnhaw2,White-necked Hawk
grbhaw1,Great Black Hawk
soleag1,Solitary Eagle
croeag1,Chaco Eagle
roahaw,Roadside Hawk
hrshaw,Harris's Hawk
whrhaw1,White-rumped Hawk
whthaw,White-tailed Hawk
rebhaw2,Variable Hawk
bcbeag1,Black-chested Buzzard-Eagle
gybhaw2,Gray-backed Hawk
whihaw1,White Hawk
manhaw2,Mantled Hawk
semhaw,Semiplumbeous Hawk
blfhaw1,Black-faced Hawk
whbhaw2,White-browed Hawk
berhaw1,Bermuda Hawk
gryhaw2,Gray Hawk
gryhaw3,Gray-lined Hawk
brwhaw,Broad-winged Hawk
reshaw,Red-shouldered Hawk
ridhaw1,Ridgway's Hawk
zothaw,Zone-tailed Hawk
hawhaw,Hawaiian Hawk
whthaw1,White-throated Hawk
shthaw,Short-tailed Hawk
swahaw,Swainson's Hawk
galhaw1,Galapagos Hawk
rethaw,Red-tailed Hawk
ruthaw1,Rufous-tailed Hawk
rolhaw,Rough-legged Hawk
ferhaw,Ferruginous Hawk
renbuz1,Red-necked Buzzard
augbuz2,Augur Buzzard
jacbuz1,Jackal Buzzard
moubuz2,Mountain Buzzard
combuz1,Common Buzzard
moubuz3,Forest Buzzard
madbuz1,Madagascar Buzzard
socbuz1,Socotra Buzzard
lolbuz1,Long-legged Buzzard
uplbuz1,Upland Buzzard
combuz9,Himalayan Buzzard
combuz6,Eastern Buzzard
sooowl1,Sooty Owl
aumowl1,Australian Masked-Owl
nebmao1,Golden Masked-Owl
sermao1,Seram Masked-Owl
lemowl1,Lesser Masked-Owl
manowl2,Manus Masked-Owl
talowl1,Taliabu Masked-Owl
minowl1,Minahasa Masked-Owl
sulowl1,Sulawesi Masked-Owl
cobowl1,Itombwe Owl
ausgro1,Australasian Grass-Owl
afgowl1,African Grass-Owl
webowl1,Western Barn Owl
eabowl1,Eastern Barn Owl
brnowl,American Barn Owl
barowl5,Andaman Masked-Owl
asfowl1,Ashy-faced Owl
marowl1,Red Owl
orbowl1,Oriental Bay-Owl
srlbao1,Sri Lanka Bay-Owl
wfsowl2,White-fronted Scops-Owl
ansowl1,Andaman Scops-Owl
resowl1,Reddish Scops-Owl
sersco1,Serendib Scops-Owl
sasowl1,Sandy Scops-Owl
sosowl1,Sokoke Scops-Owl
flsowl1,Flores Scops-Owl
mosowl2,Mountain Scops-Owl
rasowl1,Rajah Scops-Owl
jasowl2,Javan Scops-Owl
mesowl1,Mentawai Scops-Owl
insowl1,Indian Scops-Owl
cosowl1,Collared Scops-Owl
mineao1,Giant Scops-Owl
susowl2,Sunda Scops-Owl
jasowl1,Japanese Scops-Owl
wasowl1,Wallace's Scops-Owl
pasowl2,Palawan Scops-Owl
phsowl1,Philippine Scops-Owl
evesco1,Everett's Scops-Owl
negsco1,Negros Scops-Owl
misowl2,Mindoro Scops-Owl
mosowl1,Moluccan Scops-Owl
molsco2,Wetar Scops-Owl
rinsco1,Rinjani Scops-Owl
palowl2,Palau Scops-Owl
masowl2,Mantanani Scops-Owl
ryusco1,Ryukyu Scops-Owl
susowl1,Sulawesi Scops-Owl
sulsco5,Banggai Scops-Owl
sansco1,Sangihe Scops-Owl
sulsco2,Siau Scops-Owl
sulsco3,Sula Scops-Owl
biasco1,Biak Scops-Owl
sisowl1,Simeulue Scops-Owl
ensowl1,Enggano Scops-Owl
nicsco1,Nicobar Scops-Owl
arasco1,Arabian Scops-Owl
eursco1,Eurasian Scops-Owl
eursco3,Cyprus Scops-Owl
prisco1,Principe Scops-Owl
pesowl2,Pemba Scops-Owl
stsowl1,Sao Tome Scops-Owl
afsowl1,African Scops-Owl
pasowl3,Pallid Scops-Owl
misowl1,Mindanao Scops-Owl
lusowl1,Luzon Scops-Owl
mohsco1,Moheli Scops-Owl
cosowl3,Comoro Scops-Owl
sesowl1,Seychelles Scops-Owl
orsowl,Oriental Scops-Owl
afrsco2,Socotra Scops-Owl
ansowl2,Anjouan Scops-Owl
maysco1,Mayotte Scops-Owl
reusco1,Reunion Scops-Owl
rodsco1,Rodrigues Scops-Owl
mausco1,Mauritius Scops-Owl
madsco1,Madagascar Scops-Owl
flaowl,Flammulated Owl
prsowl,Puerto Rican Owl
bssowl,Bare-shanked Screech-Owl
whsowl1,Whiskered Screech-Owl
whtsco1,White-throated Screech-Owl
trsowl,Tropical Screech-Owl
koesco1,Koepcke's Screech-Owl
rufsco1,Rufescent Screech-Owl
cinsco1,Cinnamon Screech-Owl
clfsco1,Cloud-forest Screech-Owl
mofsco1,Montane Forest Screech-Owl
vesowl,Middle American Screech-Owl
versco2,Choco Screech-Owl
foosco1,Foothill Screech-Owl
lotsco1,Long-tufted Screech-Owl
besowl,Bearded Screech-Owl
basowl,Balsas Screech-Owl
pasowl4,Pacific Screech-Owl
wesowl1,Western Screech-Owl
easowl1,Eastern Screech-Owl
samsco1,Santa Marta Screech-Owl
persco1,Peruvian Screech-Owl
tabsco1,Tawny-bellied Screech-Owl
bkcsco1,Black-capped Screech-Owl
balowl,Bare-legged Owl
nwfowl1,Northern White-faced Owl
swfowl1,Southern White-faced Owl
creowl1,Crested Owl
manowl1,Maned Owl
speowl1,Spectacled Owl
tabowl1,Tawny-browed Owl
babowl1,Band-bellied Owl
snoowl1,Snowy Owl
grhowl,Great Horned Owl
grhowl2,Lesser Horned Owl
roeowl1,Rock Eagle-Owl
graeao1,Grayish Eagle-Owl
spoeao2,Spotted Eagle-Owl
speowl2,Arabian Eagle-Owl
caeowl1,Cape Eagle-Owl
pheowl1,Pharaoh Eagle-Owl
eueowl1,Eurasian Eagle-Owl
fraeao1,Fraser's Eagle-Owl
akeowl1,Akun Eagle-Owl
veeowl1,Verreaux's Eagle-Owl
sheowl1,Shelley's Eagle-Owl
blfowl1,Blakiston's Fish-Owl
bufowl2,Buffy Fish-Owl
brfowl1,Brown Fish-Owl
tafowl1,Tawny Fish-Owl
dueowl1,Dusky Eagle-Owl
sbeowl1,Spot-bellied Eagle-Owl
baeowl1,Barred Eagle-Owl
pheowl2,Philippine Eagle-Owl
pefowl1,Pel's Fishing-Owl
rufowl1,Rufous Fishing-Owl
vefowl1,Vermiculated Fishing-Owl
nohowl,Northern Hawk Owl
eupowl1,Eurasian Pygmy-Owl
pesowl1,Pearl-spotted Owlet
nopowl,Northern Pygmy-Owl
crpowl,Costa Rican Pygmy-Owl
clopyo1,Cloud-forest Pygmy-Owl
anpowl1,Andean Pygmy-Owl
yupowl1,Yungas Pygmy-Owl
supowl1,Subtropical Pygmy-Owl
capowl1,Central American Pygmy-Owl
tapowl1,Tamaulipas Pygmy-Owl
copowl1,Colima Pygmy-Owl
amapyo1,Amazonian Pygmy-Owl
perpyo1,Pernambuco Pygmy-Owl
leapyo1,Least Pygmy-Owl
fepowl,Ferruginous Pygmy-Owl
aupowl1,Austral Pygmy-Owl
pepowl1,Peruvian Pygmy-Owl
cupowl1,Cuban Pygmy-Owl
recowl1,Red-chested Owlet
sjoowl1,Sjöstedt's Owlet
asbowl1,Asian Barred Owlet
javowl1,Javan Owlet
junowl1,Jungle Owlet
chbowl1,Chestnut-backed Owlet
afbowl1,African Barred Owlet
albowl1,Albertine Owlet
colowl1,Collared Owlet
colowl3,Sunda Owlet
elfowl,Elf Owl
lowowl1,Long-whiskered Owlet
spoowl1,Spotted Owlet
litowl1,Little Owl
forowl1,Forest Owlet
solboo1,West Solomons Owl
solboo2,Guadalcanal Owl
solboo3,Malaita Owl
solboo4,Makira Owl
whbowl1,White-browed Owl
burowl,Burrowing Owl
motowl,Mottled Owl
bawowl1,Black-and-white Owl
bkbowl1,Black-banded Owl
rubowl3,Rufous-banded Owl
spwowl1,Spotted Wood-Owl
mowowl1,Mottled Wood-Owl
brwowl1,Brown Wood-Owl
tawowl1,Tawny Owl
tawowl3,Maghreb Owl
himowl1,Himalayan Owl
humowl1,Desert Owl
omaowl1,Omani Owl
spoowl,Spotted Owl
brdowl,Barred Owl
barowl13,Cinereous Owl
fulowl1,Fulvous Owl
rubowl2,Rusty-barred Owl
rulowl1,Rufous-legged Owl
chaowl1,Chaco Owl
uraowl1,Ural Owl
grgowl,Great Gray Owl
afwowl1,African Wood-Owl
jamowl1,Jamaican Owl
loeowl,Long-eared Owl
aleowl1,Abyssinian Owl
mleowl1,Madagascar Owl
strowl1,Striped Owl
styowl1,Stygian Owl
sheowl,Short-eared Owl
marowl2,Marsh Owl
feaowl1,Fearful Owl
borowl,Boreal Owl
nswowl,Northern Saw-whet Owl
bswowl1,Bermuda Saw-whet Owl
uswowl1,Unspotted Saw-whet Owl
bufowl1,Buff-fronted Owl
rufowl2,Rufous Owl
powowl1,Powerful Owl
barowl1,Barking Owl
sumboo1,Sumba Boobook
andhao1,Andaman Boobook
souboo8,Australian Boobook
souboo4,Rote Boobook
souboo5,Timor Boobook
souboo6,Alor Boobook
souboo3,Tasmanian Boobook
morepo2,Morepork
lauowl1,Laughing Owl
lishao1,Least Boobook
brnhao1,Brown Boobook
brnhao3,Hume's Boobook
norboo1,Northern Boobook
choboo1,Chocolate Boobook
phihao1,Luzon Boobook
minboo1,Mindanao Boobook
minboo2,Mindoro Boobook
romboo1,Romblon Boobook
cebboo1,Cebu Boobook
camboo1,Camiguin Boobook
sulboo1,Sulu Boobook
ocbhao1,Ochre-bellied Boobook
toghao1,Togian Boobook
cinhao1,Cinnabar Boobook
molhao3,Halmahera Boobook
molhao2,Tanimbar Boobook
hanboo2,Seram Boobook
hanboo1,Buru Boobook
chihao1,Christmas Island Boobook
junhao1,Papuan Boobook
manhao1,Manus Boobook
spehao1,Speckled Boobook
bishao1,Bismarck Boobook
nebhao1,New Britain Boobook
paphao1,Papuan Owl
spemou2,Speckled Mousebird
whhmou1,White-headed Mousebird
rebmou1,Red-backed Mousebird
whbmou1,White-backed Mousebird
blnmou1,Blue-naped Mousebird
refmou1,Red-faced Mousebird
cuckoo1,Cuckoo-roller
nartro1,Narina Trogon
bactro1,Bare-cheeked Trogon
battro1,Bar-tailed Trogon
javtro1,Javan Trogon
sumtro1,Sumatran Trogon
orbtro2,Orange-breasted Trogon
maltro1,Malabar Trogon
rentro1,Red-naped Trogon
diatro1,Diard's Trogon
phitro1,Philippine Trogon
whitro1,Whitehead's Trogon
cirtro1,Cinnamon-rumped Trogon
scrtro1,Scarlet-rumped Trogon
rehtro1,Red-headed Trogon
wartro1,Ward's Trogon
earque,Eared Quetzal
pavque1,Pavonine Quetzal
gohque1,Golden-headed Quetzal
resque1,Resplendent Quetzal
whtque1,White-tipped Quetzal
creque1,Crested Quetzal
cubtro1,Cuban Trogon
histro1,Hispaniolan Trogon
lattro1,Lattice-tailed Trogon
slttro1,Slaty-tailed Trogon
buttro1,Blue-tailed Trogon
bkttro2,Ecuadorian Trogon
blttro1,Black-tailed Trogon
blhtro1,Black-headed Trogon
cittro1,Citreoline Trogon
whttro1,White-tailed Trogon
gnbtro1,Green-backed Trogon
