species_code,English name
whwsco1,Stejneger's Scoter
blksco1,Common Scoter
blksco2,Black Scoter
lotduc,Long-tailed Duck
buffle,Bufflehead
comgol,Common Goldeneye
bargol,Barrow's Goldeneye
smew,Smew
hoomer,Hooded Merganser
auimer1,Auckland Islands Merganser
commer,Common Merganser
bramer1,Brazilian Merganser
rebmer,Red-breasted Merganser
scsmer1,Scaly-sided Merganser
blhduc1,Black-headed Duck
masduc,Masked Duck
rudduc,Ruddy Duck
andduc1,Andean Duck
whhduc1,White-headed Duck
macduc1,Maccoa Duck
lakduc1,Lake Duck
blbduc1,Blue-billed Duck
musduc1,Musk Duck
ausbrt1,Australian Brushturkey
watbrt1,Wattled Brushturkey
brubrt1,Waigeo Brushturkey
rebbrt1,Red-billed Brushturkey
bkbbrt1,Yellow-legged Brushturkey
bncbrt1,Red-legged Brushturkey
mallee1,Malleefowl
maleo1,Maleo
molscr1,Moluccan Megapode
niuscr1,Tongan Megapode
micscr1,Micronesian Megapode
nicscr1,Nicobar Megapode
tabscr1,Philippine Megapode
sulscr1,Sula Megapode
tanscr1,Tanimbar Megapode
dusscr1,Dusky Megapode
dusscr3,Biak Megapode
melscr1,Melanesian Megapode
vanscr1,Vanuatu Megapode
negscr1,New Guinea Megapode
orfscr1,Orange-footed Megapode
placha,Plain Chachalaca
grhcha1,Gray-headed Chachalaca
chwcha1,Chestnut-winged Chachalaca
ruvcha1,Rufous-vented Chachalaca
ruhcha1,Rufous-headed Chachalaca
rubcha1,Rufous-bellied Chachalaca
wemcha1,West Mexican Chachalaca
chacha1,Chaco Chachalaca
whbcha1,White-bellied Chachalaca
colcha1,Colombian Chachalaca
specha3,Speckled Chachalaca
specha2,East Brazilian Chachalaca
specha4,Scaled Chachalaca
varcha1,Variable Chachalaca
varcha3,Chestnut-headed Chachalaca
bubcha1,Buff-browed Chachalaca
batgua1,Band-tailed Guan
beagua1,Bearded Guan
baugua1,Baudo Guan
andgua1,Andean Guan
margua1,Marail Guan
rumgua1,Rusty-margined Guan
refgua1,Red-faced Guan
spigua1,Spix's Guan
cregua1,Crested Guan
caugua1,Cauca Guan
whwgua1,White-winged Guan
dulgua1,Dusky-legged Guan
dulgua3,Yungas Guan
whcgua1,White-crested Guan
chbgua1,Chestnut-bellied Guan
whbgua1,White-browed Guan
trpgua1,Trinidad Piping-Guan
butpig1,Blue-throated Piping-Guan
butpig2,White-throated Piping-Guan
rtpgua1,Red-throated Piping-Guan
bfpgua1,Black-fronted Piping-Guan
watgua1,Wattled Guan
blagua1,Black Guan
siwgua1,Sickle-winged Guan
higgua1,Highland Guan
horgua1,Horned Guan
noccur1,Nocturnal Curassow
crecur2,Crestless Curassow
salcur1,Salvin's Curassow
rabcur2,Razor-billed Curassow
alacur1,Alagoas Curassow
helcur1,Helmeted Curassow
horcur2,Sira Curassow
horcur3,Horned Curassow
grecur1,Great Curassow
bubcur1,Blue-billed Curassow
yekcur1,Yellow-knobbed Curassow
blacur1,Black Curassow
watcur1,Wattled Curassow
bafcur1,Bare-faced Curassow
rebcur1,Red-billed Curassow
helgui,Helmeted Guineafowl
whbgui1,White-breasted Guineafowl
blagui1,Black Guineafowl
vulgui1,Vulturine Guineafowl
plugui1,Plumed Guineafowl
cregui3,Eastern Crested Guineafowl
cregui2,Western Crested Guineafowl
cregui4,Southern Crested Guineafowl
stopar1,Stone Partridge
nahfra2,Nahan's Partridge
tafqua1,Tawny-faced Quail
mouqua,Mountain Quail
bcwpar1,Buffy-crowned Wood-Partridge
ltwpar1,Long-tailed Wood-Partridge
bewpar1,Bearded Wood-Partridge
banqua1,Banded Quail
norbob,Northern Bobwhite
bltbob1,Black-throated Bobwhite
crebob2,Spot-bellied Bobwhite
crebob1,Crested Bobwhite
scaqua,Scaled Quail
elequa,Elegant Quail
calqua,California Quail
gamqua,Gambel's Quail
monqua,Montezuma Quail
ocequa1,Ocellated Quail
sinqua1,Singing Quail
mawqua1,Marbled Wood-Quail
swwqua1,Spot-winged Wood-Quail
bewqua1,Black-eared Wood-Quail
bfwqua1,Black-fronted Wood-Quail
rfwqua1,Rufous-fronted Wood-Quail
chwqua1,Chestnut Wood-Quail
dbwqua1,Dark-backed Wood-Quail
rbwqua1,Rufous-breasted Wood-Quail
tawqua1,Tacarcuna Wood-Quail
gowqua1,Gorgeted Wood-Quail
venwoq1,Venezuelan Wood-Quail
bbwqua1,Black-breasted Wood-Quail
sfwqua1,Stripe-faced Wood-Quail
stwqua1,Starred Wood-Quail
spwqua1,Spotted Wood-Quail
udzpar1,Udzungwa Partridge
ferpar2,Ferruginous Partridge
crepar1,Crested Partridge
blapar2,Black Partridge
hilpar1,Hill Partridge
sicpar1,Sichuan Partridge
chbpar2,Chestnut-breasted Partridge
whnpar2,White-necklaced Partridge
rutpar1,Rufous-throated Partridge
rebpar3,Red-billed Partridge
chhpar1,Chestnut-headed Partridge
haipar1,Hainan Partridge
taipar1,Taiwan Partridge
whcpar1,White-cheeked Partridge
babpar1,Bar-backed Partridge
ornpar1,Orange-necked Partridge
rebpar5,Red-breasted Partridge
gybpar3,Malayan Partridge
gybpar5,Roll's Partridge
gybpar6,Sumatran Partridge
chbpar1,Chestnut-bellied Partridge
gybpar4,Gray-breasted Partridge
snopar1,Snow Partridge
blophe1,Blood Pheasant
